rollout/ep_rew_mean,time/total_timesteps,rollout/success_rate,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss
-1.3856703400000003,360448,0.02,105,11,3403,296.21,100,0.008245621807873249,0.8322429060935974,0.013828814,-5.4477299296297135,0.001,0.2,0.9508129954338074,-0.002263141716412065,0.1779022216796875,0.00114851255946391
-1.2135244200000002,393216,0.04,116,12,3386,290.65,110,-0.0034982087090611458,0.9064747095108032,0.014353598,-5.407223821990192,0.001,0.2,0.9369165897369385,-0.00810763971394408,0.2093902587890625,0.00042512791484519143
-1.2473450799999999,425984,0.09,126,13,3371,287.07,120,0.02919037826359272,0.9802522659301758,0.017275529,-5.346497836150229,0.001,0.2,0.9278237223625183,-0.01076803154001027,0.227667236328125,4.349240739180971e-05
-1.0779288599999999,458752,0.03,136,14,3358,294.35,130,0.003895330708473921,0.8435093760490417,0.018158223,-5.284884541202336,0.001,0.2,0.9152814149856567,-0.0022413193891679837,0.21888427734375,0.0013822443687335096
-1.14002273,491520,0.01,146,15,3348,299.11,140,0.0020698299631476402,0.8477925062179565,0.019736845,-5.231650336552411,0.001,0.2,0.9036884307861328,-0.00935629586738287,0.25076904296875,0.0006097512896221958
-0.9739697799999999,524288,0.05,156,16,3340,291.29,150,-0.03308427333831787,0.8871935606002808,0.026873572,-5.1922717861831185,0.001,0.2,0.8960024118423462,-0.009453978485635162,0.24129638671875,0.0004331743256452469
-0.9532851999999998,557056,0.02,167,17,3331,296.29,160,-0.04128718748688698,0.6829366683959961,0.019443654,-5.123103845026344,0.001,0.2,0.8814822435379028,-0.005187168496104277,0.255364990234375,0.0007922459614102095
-0.9194676299999999,589824,0.0,177,18,3325,300.0,170,-0.016161689534783363,0.8435183167457581,0.04907398,-5.072950068674982,0.001,0.2,0.8718512058258057,-0.005262044398295984,0.24193115234375,0.0003237333441118651
-0.9514913200000001,622592,0.02,187,19,3319,296.54,180,-0.027965586632490158,0.9560648798942566,0.017560612,-5.0431624257937075,0.001,0.2,0.8660983443260193,-0.003948806306652841,0.2393096923828125,2.3939869860800654e-05
-0.9676402500000002,655360,0.01,197,20,3312,298.31,190,0.00840072799474001,0.8614035248756409,0.05202496,-5.0104004896245895,0.001,0.2,0.8606729507446289,0.002980708885297645,0.2594757080078125,0.0005101579139893175
-0.8380331999999998,688128,0.02,208,21,3307,295.94,200,-0.026702284812927246,0.8201615810394287,0.018171836,-4.959718684479594,0.001,0.2,0.8485651612281799,-0.001756241345901799,0.2408538818359375,0.0009742862476533887
-0.7785276599999998,720896,0.04,218,22,3301,293.51,210,-0.026545468717813492,0.8164213299751282,0.01949243,-4.931131633650511,0.001,0.2,0.8502933382987976,0.0034328140298384826,0.23856201171875,0.00045005229728918296
-0.9481934799999999,753664,0.06,228,23,3297,291.79,220,0.010363218374550343,0.7045456767082214,0.020649899,-4.936459530051797,0.001,0.2,0.8430573344230652,0.0012685484786288726,0.2409210205078125,0.0010225133704325983
-0.74121173,786432,0.05,238,24,3293,292.67,230,0.07457803934812546,0.8680338859558105,0.5095484,-4.875606247037649,0.001,0.2,0.8272350430488586,-0.005307438465661107,0.2487762451171875,0.0011561324455150236
-0.73132661,819200,0.04,248,25,3290,292.33,240,-0.008377868682146072,0.7828103303909302,0.1397891,-4.773752675019205,0.001,0.2,0.8096300363540649,0.0016722825923352503,0.296282958984375,0.00029234226921959205
-0.7791572099999999,851968,0.04,259,26,3287,289.67,250,0.014359522610902786,0.6842073798179626,0.027408691,-4.736679008975625,0.001,0.2,0.8024218082427979,0.002370971725031268,0.290460205078125,0.0006727882811273566
-0.75679901,884736,0.04,269,27,3285,293.73,260,-0.013710723258554935,0.7447280883789062,0.39760572,-4.697493420541287,0.001,0.2,0.7989736199378967,0.0012432499786882544,0.2772369384765625,0.0006367500734175025
-0.7474080000000001,917504,0.03,279,28,3282,292.41,270,0.0089467978104949,0.7850242853164673,0.190245,-4.637703142035752,0.001,0.2,0.7897058129310608,-0.0009955108315807593,0.26396484375,0.0008708901754306275
-0.77706521,950272,0.05,289,29,3279,290.0,280,-0.00119143130723387,0.9227563142776489,0.020606972,-4.640685202833265,0.001,0.2,0.7847756147384644,0.0014027431816884927,0.24664306640625,0.00015232114416745545
-0.7252763300000001,983040,0.07,299,30,3277,284.97,290,-0.02380158007144928,0.7711904048919678,0.10429327,-4.578628990240395,0.001,0.2,0.7806227207183838,7.565832229374791e-05,0.276153564453125,0.0005958088647430415
-0.7190647200000001,1015808,0.06,310,31,3274,290.28,300,-0.024755636230111122,0.8889347910881042,0.9213464,-4.56412704102695,0.001,0.2,0.7748788595199585,-0.003745285971035628,0.2625946044921875,0.0007061261632138382
