time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/std
655360,1325,20,-17.27736522,0.0,494,100.0,0.2,-4.862928518559784,0.9900893345475197,190,0.33184922,-0.01644948609664425,0.002993132275389598,-0.062325067818164825,0.5441864013671875,0.001,0.8109856843948364
688128,1327,21,-18.383516399999998,0.04,518,96.04,0.2,-4.816990245133638,0.9911707509309053,200,0.44670534,-0.013194661570560129,0.002002113010115636,-0.047816526144742966,0.567144775390625,0.001,0.7981159090995789
720896,1328,22,-19.446077560000003,0.03,542,97.03,0.2,-4.750565426796674,0.9934913921169937,210,0.6420622,-0.014098314826242131,0.0015102905634250875,-0.0683557391166687,0.5884979248046875,0.001,0.7878947854042053
753664,1330,23,-18.99294795,0.03,566,97.03,0.2,-4.699003391433507,0.9936399422585964,220,0.42464715,-0.011491851945720555,0.0022715537700094047,-0.03939976170659065,0.5640655517578125,0.001,0.780916154384613
786432,1328,24,-18.663707430000002,0.03,591,97.22,0.2,-4.650636397767812,0.996699889190495,230,0.42961618,-0.008355880088856793,0.0011241262608905345,-0.051179707050323486,0.590484619140625,0.001,0.7742490768432617
819200,1328,25,-18.20203262,0.05,616,95.05,0.2,-4.627165046613664,0.9541641846299171,240,0.798292,-0.0003959645543091028,0.03292676603839482,-0.006916277576237917,0.57413330078125,0.001,0.7692791819572449
851968,1327,26,-18.68542621,0.03,641,97.03,0.2,-4.618306799791753,0.986688669770956,250,0.3205552,-0.006067568379830845,0.002181160651485925,-0.02635711245238781,0.59776611328125,0.001,0.7652634978294373
884736,1328,27,-18.744433779999998,0.03,665,97.14,0.2,-4.593146642949432,0.9899279763922095,260,0.6955723,-0.0005790751984022791,0.003959500125671411,-0.07657861709594727,0.61259765625,0.001,0.7579779028892517
917504,1328,28,-20.50574076,0.02,690,98.02,0.2,-4.530183517560363,0.97444723919034,270,0.6103227,-0.0023510591788181044,0.012118770677511747,-0.028418531641364098,0.5989654541015625,0.001,0.7468122243881226
950272,1327,29,-19.61162793,0.02,715,98.02,0.2,-4.487273492012173,0.970498587936163,280,0.4445898,-0.0006295040758232062,0.020151903613896138,0.017670301720499992,0.6146270751953125,0.001,0.7404552698135376
983040,1328,30,-19.02363477,0.02,739,98.02,0.2,-4.482125750277191,0.9694858323782682,290,0.6945087,0.0015979739266185789,0.02045473017446966,-0.010316871106624603,0.6414520263671875,0.001,0.7364241480827332
1015808,1328,31,-19.434984749999998,0.07,764,93.07,0.2,-4.419337775278836,0.9878859631717205,300,0.5946,-0.005037719218034908,0.0026337150175436363,-0.04793877899646759,0.6525848388671875,0.001,0.7271440625190735
