train/learning_rate,train/n_updates,train/ent_coef,time/time_elapsed,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/ep_len_mean,train/actor_loss
,,,671,,,129600,192,0.01,0.01,424,297.01,
,,,671,,,129600,192,0.01,0.01,428,297.01,
,,,671,,,129600,192,0.01,0.01,432,297.01,
0.0003,134288,1.7964094581657264e-05,697,6.845975605074273e-06,-2.7057607248425484,134400,192,0.01,0.01,436,297.01,-0.10852038254961371
,,,697,,,134400,192,0.01,0.01,440,297.01,
,,,697,,,134400,192,0.01,0.01,444,297.01,
,,,697,,,134400,192,0.01,0.01,448,297.01,
0.0003,139088,1.6314019717356132e-05,721,5.819870864343102e-06,0.8495499044656754,139200,192,0.01,0.01,452,297.01,-0.09754988644272089
,,,721,,,139200,192,0.01,0.01,456,297.01,
,,,721,,,139200,192,0.01,0.01,460,297.01,
,,,721,,,139200,192,0.01,0.01,464,297.01,
0.0003,143888,1.878592411230784e-05,746,5.1977162343064265e-06,-2.419256802648306,144000,192,0.01,0.01,468,297.01,-0.08354075020179152
,,,746,,,144000,192,0.01,0.01,472,297.01,
,,,746,,,144000,192,0.01,0.01,476,297.01,
,,,746,,,144000,192,0.01,0.01,480,297.01,
0.0003,148688,1.851837282629276e-05,772,7.856156997831931e-06,-2.164316926151514,148800,192,0.01,0.01,484,297.01,-0.07520050788298249
,,,772,,,148800,192,0.01,0.01,488,297.01,
,,,772,,,148800,192,0.01,0.01,492,297.01,
,,,772,,,148800,192,0.01,0.01,496,297.01,
0.0003,153488,1.5051392722398305e-05,796,3.501903400149331e-06,-3.5680264569818974,153600,192,0.01,0.01,500,297.01,-0.06491980887949467
,,,796,,,153600,192,0.01,0.01,504,297.01,
,,,796,,,153600,192,0.01,0.01,508,297.01,
,,,796,,,153600,192,0.01,0.01,512,297.01,
0.0003,158288,1.3344184480956756e-05,821,3.8162779105732625e-06,-1.2457525059580803,158400,192,0.0,0.0,516,300.0,-0.05406525474973023
,,,821,,,158400,192,0.0,0.0,520,300.0,
,,,821,,,158400,192,0.0,0.0,524,300.0,
,,,821,,,158400,192,0.0,0.0,528,300.0,
0.0003,163088,1.0806892191794759e-05,847,2.658853041737075e-06,0.504543773829937,163200,192,0.0,0.0,532,300.0,-0.04646206903271377
,,,847,,,163200,192,0.0,0.0,536,300.0,
,,,847,,,163200,192,0.0,0.0,540,300.0,
,,,847,,,163200,192,0.0,0.0,544,300.0,
0.0003,167888,1.0813289009092841e-05,872,3.510645534277046e-06,-2.624159973114729,168000,192,0.01,0.01,548,297.01,-0.04077012720517814
,,,872,,,168000,192,0.01,0.01,552,297.01,
,,,872,,,168000,192,0.01,0.01,556,297.01,
,,,872,,,168000,192,0.01,0.01,560,297.01,
0.0003,172688,1.0063226682177628e-05,898,3.234313936673061e-06,-0.4116452597081661,172800,192,0.01,0.01,564,297.01,-0.0360980189871043
,,,898,,,172800,192,0.01,0.01,568,297.01,
,,,898,,,172800,192,0.01,0.01,572,297.01,
,,,898,,,172800,192,0.01,0.01,576,297.01,
0.0003,177488,9.870901521935593e-06,923,7.088258342946574e-06,-2.186101108789444,177600,192,0.01,0.01,580,297.01,-0.034489619778469205
,,,923,,,177600,192,0.01,0.01,584,297.01,
,,,923,,,177600,192,0.01,0.01,588,297.01,
,,,923,,,177600,192,0.01,0.01,592,297.01,
0.0003,178640,1.0247925672501879e-05,929,3.7560214707355044e-06,-2.1147837191820145,178752,192,0.02,0.02,596,294.73,-0.03356486477423459
0.0003,182288,9.573438376264676e-06,948,3.458028359659693e-06,1.9194275811314583,182400,192,0.02,0.02,600,294.73,-0.030657930416055024
,,,948,,,182400,192,0.02,0.02,604,294.73,
,,,948,,,182400,192,0.02,0.02,608,294.73,
0.0003,183440,1.1277948033239227e-05,954,9.53716184426412e-06,0.9503485336899757,183552,192,0.02,0.02,612,294.73,-0.03378975752275437
0.0003,187088,1.1314737378143036e-05,973,6.0454227366335545e-06,8.059355854988098,187200,192,0.02,0.02,616,294.73,-0.03006333822850138
,,,973,,,187200,192,0.02,0.02,620,294.73,
,,,973,,,187200,192,0.02,0.02,624,294.73,
0.0003,188240,1.3509392147170729e-05,980,8.239956684974459e-06,4.857157662510872,188352,192,0.02,0.02,628,294.73,-0.032812394201755524
0.0003,191888,1.421628184061774e-05,999,9.655972576183558e-06,-2.989589139819145,192000,192,0.04,0.04,632,292.28,-0.0340626920806244
,,,999,,,192000,192,0.04,0.04,636,292.28,
,,,999,,,192000,192,0.04,0.04,640,292.28,
0.0003,191904,1.4185295412971755e-05,999,6.623229694469046e-06,-6.143571577966213,192016,192,0.05,0.05,644,289.29,-0.033362349960953
0.0003,193440,1.5425919059453008e-05,1007,1.5947612325817317e-05,7.431327365338802,193552,192,0.06,0.06,648,288.0,-0.035337624372914433
0.0003,196688,1.891162366973731e-05,1024,1.661265895336328e-05,0.03717729449272156,196800,192,0.06,0.06,652,288.0,-0.041454364312812686
,,,1024,,,196800,192,0.06,0.06,656,288.0,
0.0003,196704,1.8932100488200376e-05,1024,3.432896414778952e-05,8.161522299051285,196816,192,0.06,0.06,660,288.0,-0.04228804470039904
0.0003,198240,1.9797047116298927e-05,1032,1.3439366881584647e-05,0.8836104199290276,198352,192,0.06,0.06,664,288.0,-0.0421128545422107
0.0003,201488,2.0877993506474013e-05,1049,8.549130768642499e-06,1.9787913747131824,201600,192,0.06,0.06,668,288.0,-0.05087144416756928
,,,1049,,,201600,192,0.06,0.06,672,288.0,
0.0003,201504,2.0875451696156233e-05,1049,1.0604177418827021e-05,-1.8438283875584602,201616,192,0.06,0.06,676,288.0,-0.04930086340755224
0.0003,203040,1.7963915865948366e-05,1057,6.111978848366562e-06,-1.8988879285752773,203152,192,0.06,0.06,680,288.0,-0.051255070604383945
0.0003,206288,1.5924209833428904e-05,1073,5.277703223782737e-06,0.2078174352645874,206400,192,0.06,0.06,684,288.0,-0.048771780682727695
,,,1073,,,206400,192,0.06,0.06,688,288.0,
0.0003,206304,1.593092576968047e-05,1073,7.333262885822478e-06,1.4024675898253918,206416,192,0.06,0.06,692,288.0,-0.05360399722121656
0.0003,207840,1.5302497331504128e-05,1081,6.075160143836911e-06,2.7947497814893723,207952,192,0.05,0.05,696,290.28,-0.05048071825876832
0.0003,211088,1.666952618961659e-05,1098,8.15786019359166e-06,3.1885383799672127,211200,192,0.05,0.05,700,290.28,-0.046590906800702214
,,,1098,,,211200,192,0.05,0.05,704,290.28,
0.0003,211104,1.6728171431168448e-05,1098,9.394803910822702e-06,8.356718063354492,211216,192,0.05,0.05,708,290.28,-0.05165812000632286
0.0003,212640,1.5026682035568228e-05,1106,4.40699969317393e-06,0.3830117732286453,212752,192,0.05,0.05,712,290.28,-0.0493464102037251
0.0003,215888,1.5781657680236094e-05,1123,2.809266982239933e-05,6.516230717301369,216000,192,0.05,0.05,716,290.28,-0.04462350090034306
,,,1123,,,216000,192,0.05,0.05,720,290.28,
0.0003,215904,1.5859057953093725e-05,1123,1.8893846856826713e-05,4.086706176400185,216016,192,0.05,0.05,724,290.28,-0.04777669464237988
0.0003,217440,1.4384393523414474e-05,1131,9.438380317305928e-06,-5.069247767329216,217552,192,0.05,0.05,728,290.28,-0.04300172347575426
0.0003,220688,1.550656020299357e-05,1148,8.966208923766317e-06,-3.5011138804256916,220800,192,0.03,0.03,732,292.73,-0.04191674920730293
,,,1148,,,220800,192,0.03,0.03,736,292.73,
0.0003,220704,1.5461839439012692e-05,1148,7.58724766569685e-06,-2.426564760506153,220816,192,0.03,0.03,740,292.73,-0.04425335326232016
0.0003,222240,1.3860739613846818e-05,1156,1.0673712779407651e-05,-1.0623379908502102,222352,192,0.02,0.02,744,295.72,-0.04199771909043193
0.0003,225488,1.1922828775823291e-05,1173,8.040205784709542e-06,-4.490868523716927,225600,192,0.0,0.0,748,300.0,-0.04060577158816159
,,,1173,,,225600,192,0.0,0.0,752,300.0,
0.0003,225504,1.1867680825616844e-05,1173,6.92810837676916e-06,-2.54233518242836,225616,192,0.0,0.0,756,300.0,-0.04010622960049659
0.0003,227040,1.325723144418589e-05,1181,1.290454480340486e-05,-3.0438974648714066,227152,192,0.0,0.0,760,300.0,-0.04467112850397825
0.0003,230288,1.1581767523693998e-05,1197,8.334529525200196e-06,3.356260620057583,230400,192,0.0,0.0,764,300.0,-0.0371668430743739
,,,1197,,,230400,192,0.0,0.0,768,300.0,
0.0003,230304,1.1607210353759001e-05,1198,8.747982462864456e-06,-2.5749543011188507,230416,192,0.0,0.0,772,300.0,-0.03593990800436586
0.0003,231600,1.347162128695345e-05,1204,9.16363526926034e-06,-3.018529362976551,231712,192,0.01,0.01,776,297.82,-0.03670296329073608
0.0003,235088,1.2855954594215291e-05,1222,7.499509592889808e-06,2.678618364036083,235200,192,0.01,0.01,780,297.82,-0.03143655345775187
,,,1222,,,235200,192,0.01,0.01,784,297.82,
0.0003,235104,1.2881831082722783e-05,1222,7.318237962294916e-06,-0.8839420229196548,235216,192,0.01,0.01,788,297.82,-0.02751639427151531
0.0003,236400,1.3203589276145067e-05,1229,1.1987249308731407e-05,1.4990176185965538,236512,192,0.01,0.01,792,297.82,-0.03030635742470622
0.0003,239888,1.2833351661356573e-05,1248,8.761728338413377e-06,0.9973649568855762,240000,192,0.01,0.01,796,297.82,-0.026764114445541054
,,,1248,,,240000,192,0.01,0.01,800,297.82,
0.0003,239904,1.2836233054258628e-05,1248,1.0134847116205492e-05,-3.3309758454561234,240016,192,0.01,0.01,804,297.82,-0.0270377267152071
0.0003,241200,1.394089065342996e-05,1255,1.1225702962747164e-05,-1.6277743428945541,241312,192,0.01,0.01,808,297.82,-0.025938620092347264
0.0003,244688,1.2941739612415404e-05,1273,1.069933099984155e-05,-0.39437530748546124,244800,192,0.01,0.01,812,297.82,-0.026759530301205814
,,,1273,,,244800,192,0.01,0.01,816,297.82,
0.0003,244704,1.2939920338794764e-05,1273,2.8064299584684704e-05,-1.6729118190705776,244816,192,0.01,0.01,820,297.82,-0.023538617533631623
0.0003,245952,1.211852384130907e-05,1280,9.598219605777558e-06,-3.380632109940052,246064,192,0.02,0.02,824,295.61,-0.027122907573357224
0.0003,249488,1.272403329721783e-05,1298,1.6009470868993958e-05,-1.7256909012794495,249600,192,0.02,0.02,828,295.61,-0.02679482736857608
,,,1298,,,249600,192,0.02,0.02,832,295.61,
0.0003,249504,1.2709246561826149e-05,1298,1.7955303860617278e-05,-3.8213894590735435,249616,192,0.02,0.02,836,295.61,-0.025762868346646428
