2026-04-01 13:22:54 | Training started | expert_reward_mean=nan
2026-04-01 13:22:54 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-01 13:26:48 | 131 | nan | 3.4065 | 0.2874 | 0.1698 | 0.1176 | 0.0000
2026-04-01 13:26:52 | 132 | nan | 4.0507 | 0.2977 | 0.1611 | 0.1366 | 26.0000
2026-04-01 13:26:55 | 133 | nan | 1.5834 | 0.2621 | 0.1526 | 0.1095 | 0.0000
2026-04-01 13:26:59 | 134 | nan | 2.3948 | 0.2504 | 0.1444 | 0.1060 | 0.0000
2026-04-01 13:27:02 | 135 | nan | 1.1346 | 0.2309 | 0.1297 | 0.1012 | 0.0000
2026-04-01 13:27:06 | 136 | nan | 0.9115 | 0.2197 | 0.1212 | 0.0986 | 0.0000
2026-04-01 13:27:09 | 137 | nan | 1.6385 | 0.2027 | 0.1128 | 0.0899 | 0.0000
2026-04-01 13:27:13 | 138 | nan | 1.6491 | 0.1981 | 0.1075 | 0.0906 | 0.0000
2026-04-01 13:27:16 | 139 | nan | 2.9230 | 0.1863 | 0.0992 | 0.0872 | 0.0000
2026-04-01 13:27:19 | 140 | nan | 3.3906 | 0.1784 | 0.0930 | 0.0853 | 0.0000
2026-04-01 13:27:23 | 141 | nan | 4.6141 | 0.1673 | 0.0891 | 0.0782 | 0.0000
2026-04-01 13:27:26 | 142 | nan | 5.3635 | 0.1576 | 0.0810 | 0.0766 | 0.0000
2026-04-01 13:27:30 | 143 | nan | 4.7571 | 0.1503 | 0.0754 | 0.0750 | 0.0000
2026-04-01 13:27:33 | 144 | nan | 4.5212 | 0.1381 | 0.0722 | 0.0659 | 0.0000
2026-04-01 13:27:37 | 145 | nan | 3.8563 | 0.1458 | 0.0683 | 0.0775 | 0.0000
2026-04-01 13:27:40 | 146 | nan | 4.8047 | 0.1351 | 0.0662 | 0.0689 | 0.0000
2026-04-01 13:27:43 | 147 | nan | 5.4435 | 0.1237 | 0.0598 | 0.0639 | 0.0000
2026-04-01 13:27:47 | 148 | nan | 3.8753 | 0.1279 | 0.0600 | 0.0679 | 0.0000
2026-04-01 13:27:50 | 149 | nan | 4.9087 | 0.1167 | 0.0507 | 0.0660 | 0.0000
2026-04-01 13:27:54 | 150 | nan | 4.0056 | 0.1071 | 0.0488 | 0.0583 | 0.0000
2026-04-01 13:27:57 | 151 | nan | 2.9062 | 0.2979 | 0.0490 | 0.2489 | 53.1429
2026-04-01 13:28:01 | 152 | nan | 3.5014 | 0.0965 | 0.0471 | 0.0494 | 0.0000
2026-04-01 13:28:04 | 153 | nan | 5.2979 | 0.1027 | 0.0438 | 0.0589 | 0.0000
2026-04-01 13:28:08 | 154 | nan | 6.0038 | 0.0995 | 0.0413 | 0.0582 | 0.0000
2026-04-01 13:28:11 | 155 | nan | 6.4715 | 0.0881 | 0.0401 | 0.0480 | 0.0000
2026-04-01 13:28:15 | 156 | nan | 5.1976 | 0.0861 | 0.0390 | 0.0471 | 0.0000
2026-04-01 13:28:18 | 157 | nan | 3.4625 | 0.0918 | 0.0379 | 0.0539 | 0.0000
2026-04-01 13:28:22 | 158 | nan | 4.5240 | 0.0899 | 0.0379 | 0.0520 | 0.0000
2026-04-01 13:28:25 | 159 | nan | 5.1677 | 0.0820 | 0.0349 | 0.0472 | 0.0000
2026-04-01 13:28:29 | 160 | nan | 5.1690 | 0.0924 | 0.0349 | 0.0575 | 0.0000
2026-04-01 13:28:32 | 161 | nan | 4.2087 | 0.0779 | 0.0339 | 0.0440 | 0.0000
2026-04-01 13:28:36 | 162 | nan | 2.9388 | 0.0862 | 0.0336 | 0.0525 | 0.0000
2026-04-01 13:28:39 | 163 | nan | 3.6999 | 0.0732 | 0.0316 | 0.0417 | 0.0000
2026-04-01 13:28:42 | 164 | nan | 5.7704 | 0.0713 | 0.0281 | 0.0432 | 0.0000
2026-04-01 13:28:46 | 165 | nan | 6.8897 | 0.0832 | 0.0309 | 0.0523 | 11.0000
2026-04-01 13:28:49 | 166 | 13.0000 | 5.4453 | 0.0673 | 0.0297 | 0.0377 | 0.0000
2026-04-01 13:28:53 | 167 | nan | 5.0245 | 0.0661 | 0.0278 | 0.0383 | 0.0000
2026-04-01 13:28:56 | 168 | nan | 6.7850 | 0.0769 | 0.0281 | 0.0488 | 0.0000
2026-04-01 13:28:59 | 169 | nan | 5.2566 | 0.0802 | 0.0271 | 0.0532 | 0.0000
2026-04-01 13:29:03 | 170 | nan | 4.1194 | 0.0704 | 0.0278 | 0.0426 | 0.0000
2026-04-01 13:29:06 | 171 | nan | 6.0226 | 0.0586 | 0.0274 | 0.0312 | 0.0000
2026-04-01 13:29:10 | 172 | nan | 5.9669 | 0.0651 | 0.0253 | 0.0398 | 0.0000
2026-04-01 13:29:13 | 173 | nan | 5.7995 | 0.0588 | 0.0246 | 0.0343 | 0.0000
2026-04-01 13:29:17 | 174 | nan | 5.2030 | 0.0621 | 0.0243 | 0.0378 | 0.0000
2026-04-01 13:29:20 | 175 | nan | 3.9664 | 0.0670 | 0.0236 | 0.0434 | 0.0000
2026-04-01 13:29:24 | 176 | nan | 4.3189 | 0.0583 | 0.0249 | 0.0334 | 0.0000
2026-04-01 13:29:27 | 177 | nan | 4.9744 | 0.0551 | 0.0251 | 0.0300 | 0.0000
2026-04-01 13:29:31 | 178 | nan | 4.9483 | 0.0668 | 0.0243 | 0.0425 | 0.0000
2026-04-01 13:29:34 | 179 | nan | 4.9897 | 0.0498 | 0.0233 | 0.0266 | 0.0000
2026-04-01 13:29:38 | 180 | nan | 3.8020 | 0.0578 | 0.0284 | 0.0293 | 0.0000
2026-04-01 13:29:41 | 181 | nan | 2.6256 | 0.0545 | 0.0252 | 0.0293 | 0.0000
2026-04-01 13:29:44 | 182 | nan | 2.4135 | 0.0704 | 0.0215 | 0.0489 | 0.0000
2026-04-01 13:29:48 | 183 | nan | 1.5658 | 0.0572 | 0.0224 | 0.0348 | 0.0000
2026-04-01 13:29:51 | 184 | nan | 0.7253 | 0.1027 | 0.0254 | 0.0773 | 0.0000
2026-04-01 13:29:55 | 185 | nan | 1.2922 | 0.0625 | 0.0244 | 0.0381 | 0.0000
2026-04-01 13:29:58 | 186 | nan | 0.9479 | 0.0602 | 0.0255 | 0.0347 | 0.0000
2026-04-01 13:30:02 | 187 | nan | 1.8569 | 0.0621 | 0.0212 | 0.0410 | 0.0000
2026-04-01 13:30:05 | 188 | nan | 2.1783 | 3.8196 | 0.0283 | 3.7913 | 0.0000
2026-04-01 13:30:09 | 189 | nan | 1.9195 | 0.1585 | 0.0253 | 0.1332 | 0.0000
