2026-04-02 14:50:31 | Training started | num_expert_samples=5000
2026-04-02 14:50:31 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:52:36 | Training started | num_expert_samples=5000
2026-04-02 14:52:36 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:57:41 | Training started | num_expert_samples=5000
2026-04-02 14:57:41 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:25:40 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:25:52 | 1 | -111.5942 | 4.2602 | 1.3745 | 0.6671 | 0.7074 | -111.0012
2026-04-02 15:26:45 | Training started | num_expert_samples=5000
2026-04-02 15:26:45 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:26:56 | 1 | -118.2339 | 4.2621 | 1.3606 | 0.6901 | 0.6705 | -122.7699
2026-04-02 15:28:03 | Training started | num_expert_samples=5000
2026-04-02 15:28:03 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:28:16 | 1 | -114.0404 | 4.2457 | 1.3832 | 0.7409 | 0.6424 | -116.4548
2026-04-02 15:29:43 | Training started | num_expert_samples=5000
2026-04-02 15:29:43 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:29:55 | 1 | -116.0717 | 4.2063 | 1.3867 | 0.7364 | 0.6502 | -118.3163
2026-04-02 15:30:20 | Training started | num_expert_samples=5000
2026-04-02 15:30:20 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:30:31 | 1 | -110.9408 | 4.2244 | 1.3611 | 0.6447 | 0.7164 | -113.9409
2026-04-02 15:30:43 | 2 | -110.8809 | 4.2180 | 1.3510 | 0.6430 | 0.7079 | -118.1386
2026-04-02 15:30:54 | 3 | -112.2969 | 4.2174 | 1.3387 | 0.6410 | 0.6977 | -115.3116
2026-04-02 15:31:06 | 4 | -111.2855 | 4.2023 | 1.3316 | 0.6391 | 0.6925 | -108.6263
