train/ent_coef,time/fps,time/time_elapsed,train/critic_loss,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,rollout/ep_len_mean
0.0028413456020643935,327,5011,1.4420818220824003,1.1202369779348373,0.0,0.003,1642272,5524,-14.512240279999999,5.31490732729435,1642384,300.0
0.003112838137894869,327,5016,0.4899645955301821,3.303245022892952,0.0,0.003,1643792,5528,-14.603554949999998,5.125833630561829,1643904,300.0
0.002915868113632314,327,5019,0.7044889880344272,-0.17184190452098846,0.0,0.003,1645008,5532,-14.714800149999999,4.745830625295639,1645120,300.0
0.0027254779706709087,327,5023,2.198789969086647,-0.7693499084562063,0.0,0.003,1646336,5536,-14.774195030000001,5.003470987081528,1646448,300.0
0.0021751552558271214,327,5025,0.6727379150688648,2.3582426868379116,0.0,0.003,1647072,5540,-14.97593733,5.175789505243301,1647184,300.0
0.0025491552223684266,327,5030,1.7825668333098292,-3.1824149191379547,0.0,0.003,1648592,5544,-15.06266791,5.142010927200317,1648704,300.0
0.0022376678825821728,327,5033,2.6520495428703725,1.7362781129777431,0.0,0.003,1649808,5548,-15.06197904,5.24414736032486,1649920,300.0
0.002079957092064433,327,5037,0.549383070319891,-4.445653811097145,0.0,0.003,1651136,5552,-15.17038261,5.425858110189438,1651248,300.0
0.0027762728423113003,327,5040,1.5836439076811075,-2.1882480680942535,0.0,0.003,1651872,5556,-15.212624949999999,5.2080897986888885,1651984,300.0
0.0020683476323029026,327,5044,0.891035309061408,2.7706523705273867,0.0,0.003,1653392,5560,-15.299750470000001,5.336123704910278,1653504,300.0
0.003510083639412187,327,5048,1.7773326560854912,-0.05180506408214569,0.0,0.003,1654608,5564,-15.319160110000002,5.202678292989731,1654720,300.0
0.0026527055306360126,327,5052,0.912088549695909,-3.8490347638726234,0.0,0.003,1655936,5568,-15.4390582,5.092518985271454,1656048,300.0
0.002514174091629684,327,5054,1.0311883371323347,-5.182147905230522,0.0,0.003,1656672,5572,-14.46425307,5.302558809518814,1656784,300.0
0.00247230552486144,327,5058,0.49555481504648924,-1.05369046702981,0.0,0.003,1658192,5576,-14.752190640000002,5.165863826870918,1658304,300.0
0.0024018881522351876,327,5062,0.5189334722235799,4.691050559282303,0.0,0.003,1659408,5580,-14.88990374,5.383211970329285,1659520,300.0
0.002648986061103642,327,5066,0.5681820027530193,1.9074797071516514,0.0,0.003,1660736,5584,-14.706357460000001,5.04592901468277,1660848,300.0
0.003084062453126535,327,5068,0.6422462835907936,-2.475222907960415,0.0,0.003,1661472,5588,-14.841287329999998,5.121461421251297,1661584,300.0
0.0025159163487842306,327,5072,0.9933926351368427,2.824465937912464,0.0,0.003,1662992,5592,-15.234225839999999,5.042590081691742,1663104,300.0
0.0035455073812045157,327,5076,2.938310142606497,-2.0728015080094337,0.0,0.003,1664208,5596,-15.30500474,5.208571821451187,1664320,300.0
0.0028592542075784877,327,5080,1.733924027532339,0.5093752332031727,0.0,0.003,1665536,5600,-15.55615099,4.972728207707405,1665648,300.0
0.002854866164852865,327,5082,0.9204303845763206,1.0637427810579538,0.0,0.003,1666272,5604,-15.494153079999998,4.794895231723785,1666384,300.0
0.002166193356970325,327,5086,1.0643159057945013,-3.3045594915747643,0.0,0.003,1667792,5608,-15.38210034,4.751726225018501,1667904,300.0
0.00209153450850863,327,5090,0.468514964915812,-2.142172407358885,0.0,0.003,1669008,5612,-15.34869696,5.078067183494568,1669120,300.0
0.003189295021002181,327,5094,0.9567407984286547,-2.34611089900136,0.01,0.003,1670320,5616,-15.235212570000002,5.278580114245415,1670432,297.01
0.0020269739907234907,327,5095,0.38864373974502087,0.3156480621546507,0.01,0.003,1670736,5620,-15.64616337,4.7504813224077225,1670848,297.01
0.002766021032584831,327,5099,0.6797500848770142,0.9629524797201157,0.01,0.003,1672224,5624,-15.651116480000002,5.146098181605339,1672336,297.01
0.002831467063515447,327,5103,1.198538452386856,-3.5189388915896416,0.01,0.003,1673552,5628,-15.60938849,4.901615887880325,1673664,297.01
0.0022182444226928055,327,5108,0.5159837612882257,0.05841898173093796,0.01,0.003,1675120,5632,-15.54879947,4.831378906965256,1675232,297.01
0.002756242742179893,327,5109,1.0150969144888222,-1.2202259516343474,0.01,0.003,1675536,5636,-15.59665098,4.755095303058624,1675648,297.01
0.0031394852558150887,327,5113,0.7278507556766272,0.5685521923005581,0.01,0.003,1677024,5640,-15.504348929999997,4.962553381919861,1677136,297.01
0.001803824125090614,327,5117,1.7039899490773678,2.453201502561569,0.01,0.003,1678352,5644,-15.55687926,5.116324454545975,1678464,297.01
0.0028890832763863727,327,5122,0.47522865515202284,-3.19539126008749,0.01,0.003,1679920,5648,-15.460496480000002,4.9545517563819885,1680032,297.01
0.0032461056543979794,327,5123,0.2969758762046695,2.432251114398241,0.01,0.003,1680336,5652,-15.213738369999998,4.5473592877388,1680448,297.01
0.0029334031569305807,327,5128,0.7639093631878495,0.5898418948054314,0.01,0.003,1681824,5656,-15.294895720000001,4.540350750088692,1681936,297.01
0.003579644748242572,327,5131,0.4658355414867401,-3.375609442591667,0.01,0.003,1683152,5660,-15.275398879999997,4.805236026644707,1683264,297.01
0.002766109028016217,328,5136,1.881045250222087,0.8939266242086887,0.01,0.003,1684720,5664,-15.24707693,4.525268107652664,1684832,297.01
0.002459395967889577,328,5137,0.6799391377717257,-2.3165037259459496,0.01,0.003,1685136,5668,-14.977024469999998,4.2031034380197525,1685248,297.01
0.002423651094431989,328,5142,0.3561773980036378,3.484441641718149,0.01,0.003,1686624,5672,-14.942873060000002,4.470555514097214,1686736,297.01
0.0016686145681887865,328,5146,0.4309211503714323,-1.8710925243794918,0.01,0.003,1687952,5676,-14.82269503,4.362215772271156,1688064,297.01
