time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/fps,train/entropy_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/learning_rate,train/value_loss
491520,15,0.03,291.03,147,0.03,3326,-6.108051013294608,1.113590955734253,0.00042685341695687385,0.6747140288352966,140,0.0061767856,0.2,0.0676361083984375,0.04552110284566879,0.001,5.025685865218434e-07
524288,16,0.0,300.0,158,0.0,3317,-6.202045305352658,1.1365904808044434,0.00012653558706006153,0.050616323947906494,150,0.0061060707,0.2,0.060809326171875,-0.003980572801083326,0.001,9.231195335240752e-05
557056,17,0.03,291.03,168,0.03,3311,-6.253650879766792,1.1515464782714844,-0.001561460912853363,0.9207959175109863,160,0.005698542,0.2,0.05093994140625,-0.017856070771813393,0.001,9.481001334227853e-09
589824,18,0.01,297.01,178,0.01,3303,-6.316918986290693,1.1751501560211182,-0.0009268094784601999,0.008175849914550781,170,0.0052538477,0.2,0.0519378662109375,0.023317983373999596,0.001,9.172226943883683e-05
622592,19,0.03,291.03,188,0.03,3298,-6.429258844256401,1.2052853107452393,-0.001940883037423191,0.14498555660247803,180,0.0065914383,0.2,0.0698883056640625,-0.03094581514596939,0.001,3.0591179045625066e-05
655360,20,0.01,297.01,199,0.01,3292,-6.505451616086066,1.2353116273880005,-0.0007316868377529318,0.07109010219573975,190,0.0058534406,0.2,0.05859375,-0.0002634664997458458,0.001,9.136044552030793e-05
688128,21,0.0,300.0,209,0.0,3285,-6.614784389454871,1.2638797760009766,-0.0007974875585205155,0.1368984580039978,200,0.006739546,0.2,0.067694091796875,0.0033781053498387337,0.001,3.0534550641864776e-05
720896,22,0.01,297.01,219,0.01,3281,-6.680964563414454,1.2841064929962158,-0.002768930500224087,0.8529571294784546,210,0.006722777,0.2,0.062158203125,-0.02747618779540062,0.001,7.775452806182211e-09
753664,23,0.0,300.0,229,0.0,3277,-6.723985084798187,1.300584077835083,0.0009421443448445644,0.026732325553894043,220,0.004694878,0.2,0.049041748046875,-0.022333133965730667,0.001,3.096121535255667e-05
786432,24,0.02,294.02,240,0.02,3274,-6.816364976018667,1.3267924785614014,-0.0007617304693667392,0.015796244144439697,230,0.006427469,0.2,0.062811279296875,-0.01081246417015791,0.001,6.129476397213145e-05
819200,25,0.01,297.01,250,0.01,3269,-6.849782994575799,1.3490370512008667,-0.0006889997106554801,0.03294128179550171,240,0.0059189186,0.2,0.05758056640625,0.01162036508321762,0.001,6.0510540712134086e-05
851968,26,0.01,297.01,260,0.01,3265,-6.949036013986915,1.3768744468688965,-0.0011511068918480306,0.02314072847366333,250,0.006046559,0.2,0.06160888671875,0.007456914056092501,0.001,3.065161024595766e-05
884736,27,0.02,294.02,271,0.02,3260,-7.015142225287855,1.4060447216033936,-0.001196168653495988,0.04892873764038086,260,0.005595727,0.2,0.053607177734375,0.021495571359992027,0.001,3.0131617054651424e-05
917504,28,0.01,297.01,281,0.01,3258,-7.086547434981912,1.4236360788345337,-0.0002606884869237547,0.034107863903045654,270,0.0053983196,0.2,0.054608154296875,-0.005371598992496729,0.001,5.969453301946394e-05
950272,29,0.02,294.02,291,0.02,3257,-7.122802610229701,1.4425275325775146,-0.0019298276173685736,3.933906555175781e-05,280,0.0054877927,0.2,0.05701904296875,0.029564522206783295,0.001,6.141514024440746e-05
983040,30,0.0,300.0,302,0.0,3253,-7.213766970671713,1.4596483707427979,-0.001065491297867993,0.07738113403320312,290,0.0064883456,0.2,0.0636871337890625,-0.007741388864815235,0.001,4.940179652626001e-05
1015808,31,0.0,300.0,312,0.0,3250,-7.238399367034435,1.4798359870910645,5.822256025567185e-05,0.06514209508895874,300,0.0046907314,0.2,0.0519134521484375,-0.03183203563094139,0.001,1.0617083715389964e-06
