rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/std,train/approx_kl,train/loss,train/clip_range
-7.74242654,294.41,0.02,169,17,3294,557056,0.013181615605117259,-4.918436793703586,160,0.2618377685546875,0.9688138365745544,-0.014148104599553336,0.001,0.8361862897872925,1.0695965,-0.007769125979393721,0.2
-8.976301489999999,300.0,0.0,179,18,3284,589824,0.010171460037082625,-4.8641582644544545,170,0.29532470703125,0.9484362602233887,-0.003677007352689543,0.001,0.8358137607574463,0.027141046,0.023144973441958427,0.2
-7.803078939999998,297.71,0.02,189,19,3277,622592,0.0014278066203758043,-4.871283687837422,180,0.2555450439453125,0.9761958718299866,0.0002047046204097569,0.001,0.8358057737350464,0.02077315,-0.008378209546208382,0.2
-7.681259180000001,294.96,0.03,200,20,3273,655360,0.019949342851066375,-4.857758588157594,190,0.2658477783203125,0.9144412875175476,-0.0009693851557130984,0.001,0.8313708305358887,0.02125481,0.023310964927077293,0.2
-7.455311109999999,288.47,0.05,210,21,3269,688128,0.019584738768344323,-4.809181743580848,200,0.29437255859375,0.9228007793426514,-0.0027985810411337297,0.001,0.819554328918457,0.0426094,-0.04486474394798279,0.2
-8.8263743,298.18,0.01,220,22,3266,720896,0.0302478076390571,-4.7645964019931855,210,0.296142578125,0.8539515137672424,0.0026834038256311034,0.001,0.8148599863052368,0.024706244,0.012120978906750679,0.2
-7.86021083,292.21,0.05,231,23,3262,753664,0.006283939246918635,-4.753825296740979,220,0.2643341064453125,0.9566528797149658,-0.005701765860430896,0.001,0.8042202591896057,0.488965,-0.029011035338044167,0.2
-7.98754518,291.78,0.04,241,24,3258,786432,0.0238699418565659,-4.679115611314773,230,0.2995086669921875,0.8656579256057739,0.0023315789566822785,0.001,0.7926092743873596,0.025663514,0.005093827843666077,0.2
-8.26727719,295.22,0.03,251,25,3255,819200,0.008770254560116087,-4.651246010884643,240,0.2978759765625,0.8977121114730835,0.005283191407761479,0.001,0.7986266613006592,0.028105587,0.04798976704478264,0.2
-8.44498821,298.2,0.02,261,26,3252,851968,0.014707164810283757,-4.667221943289041,250,0.274395751953125,0.9317551851272583,0.0027776225807429,0.001,0.7944172024726868,0.021377329,-0.018877675756812096,0.2
-7.870384419999999,293.53,0.03,272,27,3250,884736,0.009558009396656075,-4.6242907260544595,260,0.298876953125,0.9457669258117676,-0.002229788537169952,0.001,0.7915483117103577,0.16837601,-0.025540564209222794,0.2
-7.78875379,297.23,0.04,282,28,3248,917504,0.01026867186234881,-4.623629185371101,270,0.2837066650390625,0.9542210698127747,0.0010373103734309553,0.001,0.7935400009155273,0.026600085,-0.009675141423940659,0.2
-7.821740999999999,293.07,0.05,292,29,3246,950272,0.01082766504847541,-4.619350699800998,280,0.2858551025390625,0.9047731161117554,0.0013865616683688131,0.001,0.7852379083633423,0.024381582,0.009979545138776302,0.2
