train/ent_coef_loss,rollout/success_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps
0.9117048569023609,0.01,-1.8754822909832,0.0011451464888523333,0.005454710219055414,0.0003,540,-2.3710378,474,343,298.62,163088,163200
,0.01,,,,,544,-2.3710378,474,343,298.62,,163200
-0.1273237057030201,0.01,-1.8696405366063118,0.0011468051307019778,0.005270882335025817,0.0003,548,-2.3507756100000003,474,343,298.62,163104,163216
0.5764338839799166,0.01,-1.6804163753986359,0.001020370502374135,0.004238412526319735,0.0003,552,-2.2786648100000004,485,343,298.62,166816,166928
1.2316513527184725,0.01,-1.6177837699651718,0.0010224027719232254,0.004520213871728629,0.0003,556,-2.21268251,488,343,298.62,167888,168000
,0.01,,,,,560,-2.21268251,488,343,298.62,,168000
0.7117059249430895,0.01,-1.6145484372973442,0.0010242726420983672,0.006325964292045683,0.0003,564,-2.2087653600000006,488,343,298.62,167904,168016
0.6905855983495712,0.01,-1.332917258143425,0.0008970662311185151,0.003291573069873266,0.0003,568,-2.1661565300000003,499,343,298.62,171616,171728
-0.14876466616988182,0.01,-1.353345200419426,0.0008521209783793893,0.003277213385445066,0.0003,572,-2.0528349200000005,502,343,298.62,172688,172800
,0.01,,,,,576,-2.0528349200000005,502,343,298.62,,172800
-0.12876545079052448,0.01,-1.2933642491698265,0.0008511411397194024,0.004177957307547331,0.0003,580,-2.0779847300000003,502,343,298.62,172704,172816
0.09806470014154911,0.01,-1.0715182200074196,0.0007199944084277377,0.0025010756799019873,0.0003,584,-2.0713127,513,343,298.62,176416,176528
-1.8077006675302982,0.01,-0.9546134807169437,0.0007138948712963611,0.0025067223759833723,0.0003,588,-2.2247445599999995,516,343,298.62,177488,177600
,0.01,,,,,592,-2.2247445599999995,516,343,298.62,,177600
-0.8445504624396563,0.01,-1.012393768876791,0.0007115603548299987,0.0023716115829302,0.0003,596,-2.21493888,516,343,298.62,177504,177616
1.84914231300354,0.01,-0.7598354145884514,0.0006291680219874252,0.0022590296721318737,0.0003,600,-2.2215894000000005,527,343,298.62,181216,181328
0.15066413301974535,0.01,-0.6866225712001324,0.000625786207820056,0.0019189205704606138,0.0003,604,-2.22221259,530,343,298.62,182288,182400
,0.01,,,,,608,-2.22221259,530,343,298.62,,182400
0.5935130845755339,0.01,-0.6404367238283157,0.000626367636868963,0.0018191704657510854,0.0003,612,-2.2230041099999998,530,343,298.62,182304,182416
1.7927082553505898,0.01,-0.4980858415365219,0.0005744384943682235,0.0015779565001139417,0.0003,616,-2.32827525,541,343,298.62,186016,186128
-1.3123237108811736,0.0,-0.4298470225185156,0.0005591824046859983,0.0018277935741934925,0.0003,620,-2.41420405,544,343,300.0,187088,187200
,0.0,,,,,624,-2.41420405,544,343,300.0,,187200
-1.5391210671514273,0.0,-0.40071762539446354,0.0005575116119871382,0.0016611483588349074,0.0003,628,-2.42324068,544,343,300.0,187104,187216
