time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
89600,0.0,200.0,440,972,-48.52205469000001,92,,,,,,
89600,0.0,200.0,444,972,-48.52205469000001,92,,,,,,
89600,0.0,200.0,448,972,-48.52205469000001,92,,,,,,
92800,0.0,200.0,452,968,-47.34363427,95,5174,0.001,0.000923568441066891,0.006322560366243124,-3.3790321350097656,-27.595449447631836
92800,0.0,200.0,456,968,-47.34363427,95,,,,,,
92800,0.0,200.0,460,968,-47.34363427,95,,,,,,
92800,0.0,200.0,464,968,-47.34363427,95,,,,,,
96000,0.0,200.0,468,964,-44.63439859,99,5374,0.001,0.23877039551734924,0.005260470788925886,-3.2592077255249023,-28.901622772216797
96000,0.0,200.0,472,964,-44.63439859,99,,,,,,
96000,0.0,200.0,476,964,-44.63439859,99,,,,,,
96000,0.0,200.0,480,964,-44.63439859,99,,,,,,
99200,0.0,200.0,484,960,-42.78344573,103,5574,0.001,0.011698895134031773,0.0043981242924928665,-3.0621109008789062,-28.433074951171875
99200,0.0,200.0,488,960,-42.78344573,103,,,,,,
99200,0.0,200.0,492,960,-42.78344573,103,,,,,,
99200,0.0,200.0,496,960,-42.78344573,103,,,,,,
102400,0.01,198.01,500,957,-40.49372666,106,5774,0.001,0.0006354080978780985,0.003695859806612134,-2.819140911102295,-28.432933807373047
102400,0.01,198.01,504,957,-40.49372666,106,,,,,,
102400,0.01,198.01,508,957,-40.49372666,106,,,,,,
102400,0.01,198.01,512,957,-40.49372666,106,,,,,,
105600,0.01,198.01,516,954,-37.73035815,110,5974,0.001,0.0007875284645706415,0.0031087789684534073,-2.6582882404327393,-27.831865310668945
105600,0.01,198.01,520,954,-37.73035815,110,,,,,,
105600,0.01,198.01,524,954,-37.73035815,110,,,,,,
105600,0.01,198.01,528,954,-37.73035815,110,,,,,,
108800,0.01,198.01,532,952,-36.000050429999995,114,6174,0.001,0.0006404443411156535,0.0026268474757671356,-2.5699644088745117,-26.680898666381836
108800,0.01,198.01,536,952,-36.000050429999995,114,,,,,,
108800,0.01,198.01,540,952,-36.000050429999995,114,,,,,,
108800,0.01,198.01,544,952,-36.000050429999995,114,,,,,,
112000,0.01,198.01,548,950,-35.93984488,117,6374,0.001,0.023031719028949738,0.002226511249318719,-2.448051929473877,-25.93149185180664
112000,0.01,198.01,552,950,-35.93984488,117,,,,,,
112000,0.01,198.01,556,950,-35.93984488,117,,,,,,
112000,0.01,198.01,560,950,-35.93984488,117,,,,,,
115200,0.01,198.01,564,950,-35.760001939999995,121,6574,0.001,0.0005260143661871552,0.0018924424657598138,-2.261061191558838,-25.434581756591797
115200,0.01,198.01,568,950,-35.760001939999995,121,,,,,,
115200,0.01,198.01,572,950,-35.760001939999995,121,,,,,,
115200,0.01,198.01,576,950,-35.760001939999995,121,,,,,,
118400,0.01,198.01,580,949,-33.94695164,124,6774,0.001,0.0005460319807752967,0.0016125418478623033,-2.2139439582824707,-23.084285736083984
